;;;;;;;;;;;;;x
return_cores_RGU_title;Return cores to Ragusa ;;;;;;;;;;;;x,,
return_cores_RGU_desc;We hold provinces that Ragusa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_OSS_title;Return cores to Ossetia ;;;;;;;;;;;;x,,
return_cores_OSS_desc;We hold provinces that Ossetia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ZLA_title;Return cores to Zulia ;;;;;;;;;;;;x,,
return_cores_ZLA_desc;We hold provinces that Zulia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FVZ_title;Return cores to Venezuelan Federation ;;;;;;;;;;;;x,,
return_cores_FVZ_desc;We hold provinces that Venezuelan Federation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_POO_title;Return cores to Pontecorvo ;;;;;;;;;;;;x,,
return_cores_POO_desc;We hold provinces that Pontecorvo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BNT_title;Return cores to Benevento ;;;;;;;;;;;;x,,
return_cores_BNT_desc;We hold provinces that Benevento has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TSX_title;Return cores to REALSIEBENBURGEN ;;;;;;;;;;;;x,,
return_cores_TSX_desc;We hold provinces that REALSIEBENBURGEN has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SZE_title;Return cores to Szekelyfold ;;;;;;;;;;;;x,,
return_cores_SZE_desc;We hold provinces that Szekelyfold has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_USV_title;Return cores to United States of Venezuela ;;;;;;;;;;;;x,,
return_cores_USV_desc;We hold provinces that United States of Venezuela has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KHM_title;Return cores to Kemet ;;;;;;;;;;;;x,,
return_cores_KHM_desc;We hold provinces that Kemet has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JLA_title;Return cores to Juliana Republic ;;;;;;;;;;;;x,,
return_cores_JLA_desc;We hold provinces that Juliana Republic has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ZAC_title;Return cores to Zacatecas ;;;;;;;;;;;;x,,
return_cores_ZAC_desc;We hold provinces that Zacatecas has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_B4R_title;Return cores to Barinas ;;;;;;;;;;;;x,,
return_cores_B4R_desc;We hold provinces that Barinas has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GRA_title;Return cores to Greater Armenia ;;;;;;;;;;;;x,,
return_cores_GRA_desc;We hold provinces that Greater Armenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NRM_title;Return cores to Normandy ;;;;;;;;;;;;x,,
return_cores_NRM_desc;We hold provinces that Normandy has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CAS_title;Return cores to Cascadia ;;;;;;;;;;;;x,,
return_cores_CAS_desc;We hold provinces that Cascadia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JEF_title;Return cores to Jefferson ;;;;;;;;;;;;x,,
return_cores_JEF_desc;We hold provinces that Jefferson has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACE_title;Return cores to Acre ;;;;;;;;;;;;x,,
return_cores_ACE_desc;We hold provinces that Acre has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANQ_title;Return cores to Antioquia ;;;;;;;;;;;;x,,
return_cores_ANQ_desc;We hold provinces that Antioquia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MPC_title;Return cores to Araucania ;;;;;;;;;;;;x,,
return_cores_MPC_desc;We hold provinces that Araucania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GAY_title;Return cores to Guayaquil ;;;;;;;;;;;;x,,
return_cores_GAY_desc;We hold provinces that Guayaquil has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CUN_title;Return cores to Cunani ;;;;;;;;;;;;x,,
return_cores_CUN_desc;We hold provinces that Cunani has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AR1_title;Return cores to Arauca ;;;;;;;;;;;;x,,
return_cores_AR1_desc;We hold provinces that Arauca has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRO_title;Return cores to Provence ;;;;;;;;;;;;x,,
return_cores_PRO_desc;We hold provinces that Provence has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IKO_title;Return cores to Ikonion ;;;;;;;;;;;;x,,
return_cores_IKO_desc;We hold provinces that Ikonion has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACH_title;Return cores to Antioch ;;;;;;;;;;;;x,,
