CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
VNZ_ask_USA_mediation_2;If you can see this, then it means I fucked up. Please contact ANON on 8/v/'s /gsg/ thread. Thanks.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998003;The Schomburgk Line;;;;;;;;;;;;;x
EVTDESC1999998003;In 1835, under the aegis of the Royal Geographical Society, the German-born explorer and naturalist Robert Hermann Schomburgk conducted botanical and geographical exploration of $COUNTRY_ADJ$ Guiana. This resulted in a sketch of the territory with a line marking what he believed to be the western boundary claimed by the Dutch. As a result of this, he was commissioned in $YEAR$ by the $COUNTRY_ADJ$ government to survey Guiana's boundaries. This survey resulted in what came to be known as the "Schomburgk Line". The Line goes well beyond the area of $COUNTRY_ADJ$ occupation, and technically gives us control of the mouth of the Orinoco River, as well as other territories not currently under $COUNTRY_ADJ$ control ;;;;;;;;;;;;;x
EVTOPT1999998003A;May the sun never set on our Empire!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998004;The Schomburgk Line;;;;;;;;;;;;;x
EVTDESC1999998004;In 1835, under the aegis of the Royal Geographical Society, the German-born explorer and naturalist Robert Hermann Schomburgk conducted botanical and geographical exploration of $FROMCOUNTRY_ADJ$ Guiana. This resulted in a sketch of the territory with a line marking what he believed to be the western boundary claimed by the Dutch. As a result of this, he was commissioned in $YEAR$ by the $FROMCOUNTRY_ADJ$ government to survey Guiana's boundaries. This survey resulted in what came to be known as the "Schomburgk Line". The Line goes well beyond the area of $FROMCOUNTRY_ADJ$ occupation, and technically gives them control of the mouth of the Orinoco River, as well as other territories not currently under $FROMCOUNTRY_ADJ$ control ;;;;;;;;;;;;;x
EVTOPT1999998004A;Those bastards!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
VNZ_declare_border_essequibo_title;Declare the Essequibo River as the Guyanese border ;;;;;;;;;;;;x
VNZ_declare_border_essequibo_desc;Based on the territory of the then General Captaincy of Venezuela and the ‘Uti Possidetis Iure’ principle of international law, the Essequibo River has to be internationally recognized as the dividing line between Venezuela and the colony of British Guiana. After the scandalous episode of the so-called ‘Schomburgk Line’, in which the British Empire violated our national sovereignty by placing claims on rightful $COUNTRY_ADJ$ soil, our countrymen must be urged to settle the empty lands west of the Essequibo River in order to put more weight on our claims, the British Empire must also be formally asked to cease all encroachments on our territories ;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998005;$FROMCOUNTRY$ declares the Essequibo River as the Guyanese border ;;;;;;;;;;;;x
EVTDESC1999998005;Based on the principles of ‘Uti Possidetis Iure’ and the old territories of the General Captaincy of Venezuela, $FROMCOUNTRY$ has formally placed a complaint to cease all incursions and claims on their sovereignty which were laid by the geographical expedition of Robert Schomburgk in the previous year. Their claims are legitimate but so are ours, what shall be done about it?;;;;;;;;;;;;;x
EVTOPT1999998005A;Show them that the $COUNTRY_ADJ$ never back down ;;;;;;;;;;;;;x
EVTOPT1999998005B;Abandon all claims laid by the Schomburgk Line ;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998006;$FROMCOUNTRY$ retracts all claims on our territories!;;;;;;;;;;;;;x
EVTDESC1999998006;In an odd turn of events, $FROMCOUNTRY_ADJ$ has abandoned all their claims on our territories and will promptly cede their sovereignty to us ;;;;;;;;;;;;;x
EVTOPT1999998006A;Great!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998007;$FROMCOUNTRY$ retracts all claims on our territories!;;;;;;;;;;;;;x
EVTDESC1999998007;In an odd turn of events, $FROMCOUNTRY_ADJ$ has abandoned all their claims on our territories and will promptly cede their sovereignty to us ;;;;;;;;;;;;;x
EVTOPT1999998007A;Great!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998008;$FROMCOUNTRY$ retracts all claims on our territories!;;;;;;;;;;;;;x
EVTDESC1999998008;In an odd turn of events, $FROMCOUNTRY_ADJ$ has abandoned all their claims on our territories and will promptly cede their sovereignty to us ;;;;;;;;;;;;;x
EVTOPT1999998008A;Great!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998009;$FROMCOUNTRY$ retracts all claims on our territories!;;;;;;;;;;;;;x
EVTDESC1999998009;In an odd turn of events, $FROMCOUNTRY_ADJ$ has abandoned all their claims on our territories and will promptly cede their sovereignty to us ;;;;;;;;;;;;;x
EVTOPT1999998009A;Great!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
1850_VNZ_ENG_treaty_title;The Agreement of $YEAR$ ;;;;;;;;;;;;x
1850_VNZ_ENG_treaty_desc;Since the British Empire will not back down on their claims laid by the Schomburgk Line, we must reach a compromise by agreeing not to further encroach on disputed Guyanese territory until all matters pertaining our border disputes have been solved ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998010;The $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Agreement of $YEAR$ ;;;;;;;;;;;;x
EVTDESC1999998010;The $FROMCOUNTRY_ADJ$ Government wishes to come to an agreement that no further encroachments on disputed Guianese territories will be partaken until our border disputes have been solved ;;;;;;;;;;;;x
EVTOPT1999998010A;An excellent initiative!;;;;;;;;;;;;x
EVTOPT1999998010B;Reject such inane proposition ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998011;A response from $FROMCOUNTRY$!;;;;;;;;;;;;x
EVTDESC1999998011;The $FROMCOUNTRY_ADJ$ have accepted our proposition!;;;;;;;;;;;;x
EVTOPT1999998011A;Brilliant!;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998012;A response from $FROMCOUNTRY$!;;;;;;;;;;;;x
EVTDESC1999998012;The $FROMCOUNTRY_ADJ$ have rejected our proposition!;;;;;;;;;;;;x
EVTOPT1999998012A;Curse them!;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_extend_schomburgk_title;Extend the Schomburgk Line!;;;;;;;;;;;;x
ENG_extend_schomburgk_desc;Our diplomatic and military superiority leaves us in a position in which it is possible to extend the Schomburgk Line, beyond our claimed territories, to also include the gold mines of Guasipati and El Callao. This, of course, will not be well received by the Venezuelans.. ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998013;The mysterious extension of the Schomburgk Line ;;;;;;;;;;;;x
EVTDESC1999998013;In $YEAR$, a $FROMCOUNTRY_ADJ$ Geographical Magazine published what appeared to be an altered version of the Schomburgk Line, giving $FROMCOUNTRY$ claims over the territories of Guasipati and El Callao, which are teeming with gold… The Royal Geographical Society now considers these territories to be rightfully $FROMCOUNTRY_ADJ$ ;;;;;;;;;;;;x
EVTOPT1999998013A;Curse them!;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_declare_schomburgk_frontier_title;Declare the Schomburgk Line as the provisional $COUNTRY_ADJ$ frontier ;;;;;;;;;;;;x
ENG_declare_schomburgk_frontier_desc;In order to secure our claims in Guyana, we must declare the Schomburgk Line as the provisional frontier of our colony ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998014;$FROMCOUNTRY$ declares the Schomburgk Line as the provisional frontier of $FROMCOUNTRY_ADJ$ Guiana ;;;;;;;;;;;;x
EVTDESC1999998014;In a bold and unexpected move, $FROMCOUNTRY$ has declared the Schomburgk Line as the provisional frontier of their colony ;;;;;;;;;;;;x
EVTOPT1999998014A;Somebody stop them!;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
VNZ_ENG_cease_incursion_title;A formal request to cease all incursions on Guyanese territory ;;;;;;;;;;;;x
VNZ_ENG_cease_incursion_desc;The $MONARCHTITLE$ of $COUNTRY$, widely informed by his bureau of commissioners about the invasion of Venezuelan territory by the English, must demand the immediate withdrawal of British subjects from the Orinoco and Pomaron rivers in order to maintain the status quo which was agreed upon in 1850 ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998015;A formal request to cease all incursions on Guyanese territory ;;;;;;;;;;;;x
EVTDESC1999998015;The President of $FROMCOUNTRY$, widely informed by his bureau of commissioners about the invasion of $FROMCOUNTRY_ADJ$ territory by the $COUNTRY_ADJ$, demands the immediate withdrawal of our subjects from the Orinoco and Pomaron rivers in order to maintain the status quo which was agreed upon in 1850 ;;;;;;;;;;;;x
EVTOPT1999998015A;Show them that the $COUNTRY_ADJ$ never back down ;;;;;;;;;;;;x
EVTOPT1999998015B;They are more trouble than it is worth it ;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME1999998016;A response from $FROMCOUNTRY$!;;;;;;;;;;;;x
EVTDESC1999998016;The $FROMCOUNTRY_ADJ$, in all their illusory superiority, have diplomatically insulted us by breaking the agreement of 1850. This calls for immediate action against their incursions ;;;;;;;;;;;;x
EVTOPT1999998016A;The first step is to severe diplomatic relations ;;;;;;;;;;;;x
EVTOPT1999998016B;It is better not to incur on their rage ;;;;;;;;;;;;x
EVTOPT1999998016C;Abandon our claims, they are more trouble than it is worth it. ;;;;;;;;;;;;x
