CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;x
tucuman;Dry Forest Hills;;;;;;;;x
pampas;Pampas;;;;;;;;;;;;x
steppehills;Steppe Hills;;;;;;;;;;;;x
montane_steppe;Dry Montane Grassland;;;;;;;;;;;;x
savannahills;Savanna Hills;;;;;;;;;;;;x
dryhills;Semidesert Hills;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
samarkand;Semidesert Hills;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
adakaleh;River Island;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
jungle_farmland;Jungle Farmlands;;;;;;;;x
capecoast;Jungle Farmlands;;;;;;;;x
grandbassam;Jungle Farmlands;;;;;;;;x
hue;Jungle Farmlands;;;;;;;;x
monrovia;Jungle Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
forest_farmland;Forested Farmlands;;;;;;;;x
vilnius;Forested Farmlands;;;;;;;;x
stpetersburg;Forested Farmlands;;;;;;;;x
moscow;Forested Farmlands;;;;;;;;x
essen;Forested Farmlands;;;;;;;;x
dortmund;Forested Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
suez;Floodplain Farmlands;;;;;;;;x
minsk;Floodplain Farmlands;;;;;;;;x
floodplain_farmland;Floodplain Farmlands;;;;;;;;x
turin;Floodplain Farmlands;;;;;;;;x
lahore;Floodplain Farmlands;;;;;;;;x
calcutta;Floodplain Farmlands;;;;;;;;x
karachi;Floodplain Farmlands;;;;;;;;x
baghdad;Floodplain Farmlands;;;;;;;;x
nanjing;Floodplain Farmlands;;;;;;;;x
constanta;Floodplain Farmlands;;;;;;;;x
mosul;Floodplain Farmlands;;;;;;;;x
basra;Floodplain Farmlands;;;;;;;;x
alexandria;Floodplain Farmlands;;;;;;;;x
neworleans;Floodplain Farmlands;;;;;;;;x
buenosaires;Pampas;;;;;;;;x
bukarest;Floodplain Farmlands;;;;;;;;x
timbuktu;Floodplain Farmlands;;;;;;;;x
saigon;Floodplain Farmlands;;;;;;;;x
bangkok;Floodplain Farmlands;;;;;;;;x
agra;Floodplain Farmlands;;;;;;;;x
sokoto;Floodplain Farmlands;;;;;;;;x
khiva;Floodplain Farmlands;;;;;;;;x
bukhara;Floodplain Farmlands;;;;;;;;x
milan;Floodplain Farmlands;;;;;;;;x
venice;Floodplain Farmlands;;;;;;;;x
konigsberg;Floodplain Farmlands;;;;;;;;x
kiev;Floodplain Farmlands;;;;;;;;x
lutsk;Floodplain Farmlands;;;;;;;;x
novocherkassk;Hilly Farmlands;;;;;;;;x
rostov;Floodplain Farmlands;;;;;;;;x
antwerp;Floodplain Farmlands;;;;;;;;x
rotterdam;Floodplain Farmlands;;;;;;;;x
amsterdam;Floodplain Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
kamianets;Forest Hills;;;;;;;;x
tirana;Forest Hills;;;;;;;;x
sofia;Forest Hills;;;;;;;;x
sevastopol;Montane Forest;;;;;;;;x
goteborg;Forest Hills;;;;;;;;x
auckland;Forest Hills;;;;;;;;x
vladivostok;Forest Hills;;;;;;;;x
oregoncity;Forest Hills;;;;;;;;x
